API_remaining,Degradant_1,Degradant_2,Degradant_3,True_case
92.54,0.045,8.113,3.197,overestimation
88.131,1.109,3.264,0.046,missing
82.834,5.094,5.398,0.806,missing
77.304,11.972,3.524,2.001,physical_loss
90.421,4.731,0.895,4.298,consistent
93.899,1.011,4.122,0.752,consistent
93.7,3.763,0.321,3.806,overestimation
71.133,12.741,2.531,7.032,physical_loss
78.315,4.602,1.619,0.734,missing
88.359,4.496,1.94,5.136,consistent
67.07,4.499,7.881,5.444,missing
96.074,2.382,0.726,1.61,consistent
91.252,2.436,5.238,1.534,consistent
66.442,11.834,12.369,5.05,physical_loss
91.56,0.702,5.974,2.28,consistent
78.487,1.438,3.684,8.136,missing
91.925,1.481,1.849,6.793,overestimation
88.122,0.188,9.438,3.192,consistent
75.001,11.522,8.866,0.237,physical_loss
68.648,0.391,19.264,8.253,physical_loss
96.715,0.25,2.703,0.939,consistent
85.396,0.75,2.28,2.662,missing
73.16,2.342,10.677,6.539,physical_loss
90.718,4.855,3.288,4.918,overestimation
95.852,1.536,1.91,0.101,consistent
92.591,2.729,1.603,4.036,consistent
90.44,1.409,6.282,2.815,consistent
96.631,1.73,0.283,1.603,consistent
88.895,4.591,8.601,1.847,overestimation
80.002,8.361,6.059,1.319,physical_loss
89.834,4.397,3.343,2.035,consistent
88.568,3.125,2.4,0.876,missing
88.352,5.939,8.342,0.506,overestimation
88.517,2.909,3.794,4.843,consistent
93.202,1.62,1.661,4.222,consistent
69.925,4.534,15.748,4.297,physical_loss
91.313,6.874,1.536,4.07,overestimation
88.369,7.679,0.581,3.591,consistent
90.074,1.533,2.729,11.12,overestimation
87.758,14.934,0.834,3.217,overestimation
92.174,0.273,0.88,6.117,consistent
96.084,0.197,2.214,1.114,consistent
88.746,2.744,0.75,10.762,overestimation
97.541,0.297,1.274,1.101,consistent
94.6,2.655,2.472,0.907,consistent
87.711,0.824,0.997,4.733,missing
89.051,5.139,8.574,3.395,overestimation
89.388,0.755,1.596,8.543,consistent
93.14,1.084,2.088,4.255,consistent
68.904,14.485,0.37,3.38,missing
70.921,3.459,18.833,2.907,physical_loss
87.317,2.781,1.997,3.175,missing
88.459,0.13,2.554,1.615,missing
74.297,9.708,8.789,0.573,physical_loss
93.706,0.779,5.454,1.92,overestimation
71.557,0.491,6.373,8.44,missing
93.216,1.44,2.217,5.729,overestimation
64.176,10.811,8.839,5.219,physical_loss
88.459,0.181,7.278,7.104,overestimation
89.749,2.356,0.417,1.624,missing
61.464,11.465,14.487,6.789,physical_loss
88.407,7.627,4.031,0.646,consistent
86.868,1.776,1.018,3.924,missing
65.327,1.067,17.662,0.876,missing
93.225,4.897,4.472,0.939,overestimation
87.617,12.811,1.554,1.718,overestimation
91.679,0.763,8.988,2.346,overestimation
84.235,2.475,9.346,0.883,physical_loss
91.582,2.558,1.688,3.4,consistent
86.716,2.507,3.169,2.435,missing
86.046,3.958,0.562,0.446,missing
89.175,2.761,1.764,6.598,consistent
68.792,2.251,10.734,0.269,missing
74.956,14.505,5.517,2.933,physical_loss
94.938,2.751,2.374,2.731,overestimation
92.484,0.972,2.724,3.406,consistent
80.963,0.562,7.253,0.924,missing
87.996,0.948,2.976,1.339,missing
77.971,6.18,0.684,4.955,missing
67.29,0.859,17.51,3.447,missing
85.617,3.142,2.313,0.861,missing
89.008,0.753,8.716,0.56,consistent
94.264,1.45,2.605,2.871,overestimation
68.885,0.091,24.971,0.627,physical_loss
79.913,1.047,9.055,4.404,physical_loss
92.74,3.232,3.65,0.713,consistent
82.002,3.039,3.139,8.582,physical_loss
84.073,5.924,0.329,7.435,physical_loss
75.454,0.175,7.059,13.024,physical_loss
78.32,6.669,3.317,7.819,physical_loss
93.036,4.118,0.652,4.994,overestimation
78.771,2.888,2.565,1.654,missing
63.293,2.77,8.131,21.188,physical_loss
80.423,5.876,1.769,5.911,missing
88.495,3.318,5.166,5.847,overestimation
68.425,2.93,9.838,12.572,physical_loss
91.411,4.057,3.292,0.468,consistent
73.356,1.223,0.848,14.138,missing
80.266,4.212,0.811,3.175,missing
76.912,12.394,4.903,0.57,physical_loss
88.772,0.575,2.92,0.553,missing
94.076,2.708,1.071,5.022,overestimation
84.429,5.538,3.04,4.87,physical_loss
93.222,1.361,5.458,0.499,consistent
92.035,0.088,4.232,2.913,consistent
97.472,2.501,0.843,0.156,consistent
88.97,8.691,1.094,3.834,overestimation
94.075,0.055,2.442,2.768,consistent
67.64,5.858,7.592,16.328,physical_loss
61.049,2.295,25.899,6.1,physical_loss
66.367,14.254,3.802,6.228,physical_loss
68.834,7.038,9.438,0.182,missing
67.922,13.859,5.72,2.104,missing
69.464,7.112,2.738,7.284,missing
92.756,2.002,6.511,2.974,overestimation
86.712,3.354,2.398,0.826,missing
91.523,5.379,2.563,5.098,overestimation
97.696,1.342,1.077,0.436,consistent
87.602,13.794,1.028,3.681,overestimation
88.264,3.087,8.099,0.303,consistent
96.955,0.012,2.701,0.11,consistent
88.931,7.35,3.195,1.319,consistent
83.179,0.274,8.097,4.333,physical_loss
75.473,3.169,6.119,7.045,missing
87.277,10.901,5.812,3.46,overestimation
67.122,10.365,4.99,12.609,physical_loss
89.923,4.465,8.789,1.165,overestimation
84.985,1.663,4.67,2.344,missing
77.904,1.495,2.299,13.145,physical_loss
94.181,3.164,0.559,3.912,overestimation
69.107,9.283,6.281,3.771,missing
89.978,4.065,6.564,1.82,overestimation
86.93,3.687,1.257,1.029,missing
85.117,3.797,7.227,9.348,overestimation
81.963,3.593,5.38,4.686,physical_loss
97.209,0.185,0.939,0.789,consistent
75.904,3.312,11.498,3.04,physical_loss
94.294,1.495,2.437,2.166,consistent
88.238,5.197,0.206,2.034,missing
86.788,6.328,2.526,0.254,missing
88.838,6.275,1.758,7.398,overestimation
97.012,0.124,1.127,0.829,consistent
91.511,1.833,7.772,2.689,overestimation
88.393,3.84,0.331,8.034,consistent
75.903,6.549,3.185,0.333,missing
70.53,14.244,0.199,6.04,missing
87.352,0.896,0.118,3.943,missing
65.799,3.648,23.401,0.779,physical_loss
64.536,2.709,20.081,7.106,physical_loss
78.876,6.158,7.076,5.042,physical_loss
91.69,2.575,5.108,3.826,overestimation
94.151,0.484,3.348,4.434,overestimation
60.76,15.497,3.336,14.769,physical_loss
74.223,10.094,0.274,2.134,missing
79.513,5.447,10.883,0.992,physical_loss
79.502,5.687,0.836,0.376,missing
88.048,2.41,15.028,0.871,overestimation
69.413,1.14,8.353,2.381,missing
87.263,2.3,3.15,1.396,missing
89.688,7.661,2.962,2.994,overestimation
68.115,12.869,5.324,6.445,physical_loss
91.686,4.042,8.101,0.092,overestimation
92.594,6.854,0.309,3.056,overestimation
75.487,11.184,4.114,3.666,physical_loss
77.222,12.521,1.526,5.414,physical_loss
64.894,12.475,1.525,14.304,physical_loss
88.168,6.356,0.871,11.029,overestimation
63.754,26.426,0.987,2.054,physical_loss
95.041,1.084,0.108,3.193,consistent
70.125,11.927,0.069,0.47,missing
63.21,20.735,7.693,1.987,physical_loss
87.768,6.117,9.998,3.317,overestimation
92.945,0.839,1.232,8.391,overestimation
91.768,2.585,0.107,9.915,overestimation
90.932,5.158,2.07,6.89,overestimation
85.449,6.194,0.056,2.959,missing
84.853,8.236,3.93,0.389,physical_loss
85.071,1.085,1.358,2.062,missing
85.427,0.279,1.646,3.95,missing
77.387,2.896,1.436,8.678,missing
75.911,13.286,0.258,3.762,physical_loss
85.645,1.059,3.532,0.455,missing
97.495,1.309,0.34,0.15,consistent
89.689,4.618,2.202,3.048,consistent
83.577,0.737,7.304,3.478,physical_loss
87.219,3.673,3.074,1.974,missing
93.903,2.841,0.448,4.221,overestimation
86.407,1.01,11.131,5.268,overestimation
76.185,3.186,3.598,5.434,missing
69.847,2.751,19.09,0.127,physical_loss
88.053,0.356,3.823,11.173,overestimation
97.448,0.905,1.907,0.44,consistent
60.605,5.644,2.744,21.841,physical_loss
84.146,6.056,4.969,0.959,physical_loss
68.821,3.033,3.576,5.812,missing
90.822,3.438,4.575,4.363,overestimation
94.576,0.632,2.947,1.981,consistent
94.001,4.101,0.495,2.881,overestimation
95.379,2.521,1.45,0.759,consistent
83.615,3.355,7.087,2.949,physical_loss
93.495,5.092,1.006,0.29,consistent
75.655,0.71,6.291,4.699,missing
68.484,16.317,2.925,0.739,missing
93.506,2.422,0.398,6.43,overestimation
86.803,1.613,2.311,4.955,missing
91.887,5.328,1.332,0.996,consistent
89.744,1.531,8.644,0.463,consistent
97.624,0.936,0.487,0.456,consistent
66.677,1.714,16.609,1.67,missing
84.006,3.437,2.86,2.312,missing
86.521,5.567,0.508,12.474,overestimation
68.831,12.706,9.233,1.746,physical_loss
69.347,7.184,6.025,0.846,missing
97.93,0.195,0.843,0.179,consistent
93.568,4.07,2.885,0.349,consistent
83.957,0.103,1.793,3.075,missing
89.876,5.854,5.846,0.764,overestimation
89.111,9.829,0.094,4.656,overestimation
83.057,5.705,1.628,3.548,missing
88.092,9.532,0.044,1.534,consistent
86.019,2.332,13.68,2.78,overestimation
92.432,4.025,3.301,1.902,overestimation
65.925,10.206,5.017,3.127,missing
76.815,1.23,7.441,11.486,physical_loss
72.013,17.024,0.606,2.725,physical_loss
94.383,3.082,3.295,2.32,overestimation
94.119,1.264,1.669,2.227,consistent
62.197,2.971,18.361,5.17,physical_loss
85.437,5.847,3.005,9.339,overestimation
94.982,0.588,2.669,1.833,consistent
83.086,0.48,1.414,6.535,missing
86.042,2.671,4.218,12.007,overestimation
83.44,0.858,3.21,2.482,missing
69.767,3.949,5.143,0.42,missing
92.557,2.159,1.385,4.14,consistent
60.641,7.206,12.291,10.801,physical_loss
75.694,2.866,0.62,7.542,missing
97.759,0.387,1.574,0.313,consistent
95.225,0.085,3.579,0.673,consistent
91.678,4.62,3.532,0.435,consistent
70.965,9.868,11.027,2.615,physical_loss
79.519,11.74,0.133,2.645,physical_loss
69.628,6.446,4.117,5.133,missing
86.206,1.502,16.681,3.35,overestimation
91.232,2.043,0.76,6.003,consistent
90.214,7.581,3.891,0.52,overestimation
82.709,3.977,3.792,3.207,missing
62.003,16.011,5.671,9.717,physical_loss
79.945,2.395,14.704,0.108,physical_loss
89.621,0.187,3.553,2.857,missing
85.939,4.879,7.797,9.314,overestimation
73.092,8.089,3.17,1.393,missing
92.39,0.034,4.344,2.389,consistent
89.559,0.304,2.093,1.203,missing
65.502,4.613,7.704,2.477,missing
86.093,2.643,8.579,10.218,overestimation
89.22,0.138,9.453,1.179,consistent
76.021,15.846,2.488,0.955,physical_loss
90.537,5.05,6.312,2.043,overestimation
93.492,1.662,0.506,4.77,consistent
83.785,11.525,1.384,1.274,physical_loss
95.722,0.007,2.125,1.543,consistent
82.349,2.895,4.233,2.0,missing
94.42,0.246,3.198,1.303,consistent
94.634,6.285,0.122,1.235,overestimation
87.013,0.483,7.75,9.404,overestimation
93.191,5.302,1.615,2.727,overestimation
84.659,0.502,1.961,2.688,missing
84.666,5.69,1.912,3.798,physical_loss
85.077,1.271,3.884,14.06,overestimation
91.007,5.325,7.587,0.555,overestimation
82.302,2.852,8.77,4.332,physical_loss
89.075,1.258,3.378,0.136,missing
82.407,5.698,0.299,1.673,missing
86.842,5.233,1.936,1.958,missing
61.507,3.033,18.871,8.418,physical_loss
91.883,4.853,0.204,5.14,overestimation
65.013,7.813,2.807,14.308,physical_loss
87.953,1.116,5.503,8.957,overestimation
94.551,2.418,0.543,4.716,overestimation
75.596,1.042,7.567,11.257,physical_loss
67.148,11.703,15.689,1.815,physical_loss
78.328,14.762,1.22,1.67,physical_loss
81.47,7.093,1.077,2.52,missing
83.411,8.753,2.019,0.405,missing
90.372,2.952,2.256,4.07,consistent
76.685,0.449,11.619,0.647,missing
86.622,4.656,4.254,7.211,overestimation
80.013,0.683,8.708,1.922,missing
61.736,16.592,2.741,7.997,physical_loss
77.727,8.439,2.163,8.796,physical_loss
92.687,0.959,0.174,6.009,consistent
95.408,3.014,1.108,0.864,consistent
92.568,0.539,4.945,4.979,overestimation
89.56,4.618,2.11,2.827,consistent
87.576,6.376,7.991,0.837,overestimation
93.341,0.509,4.62,4.834,overestimation
97.283,1.014,0.988,0.572,consistent
92.037,2.929,7.989,0.36,overestimation
89.031,2.917,7.259,1.599,consistent
76.855,6.925,1.43,6.569,missing
94.776,1.52,0.544,2.194,consistent
76.468,3.396,0.693,14.994,physical_loss
92.739,6.222,1.634,2.606,overestimation
71.005,13.53,2.205,5.925,physical_loss
92.926,4.72,0.433,0.944,consistent
76.484,10.928,0.792,8.389,physical_loss
87.858,8.457,2.88,4.22,overestimation
94.15,0.346,1.674,4.81,consistent
65.142,12.756,8.84,6.469,physical_loss
84.37,10.784,0.709,0.294,physical_loss
84.26,0.788,0.427,7.809,missing
93.427,1.573,0.075,4.207,consistent
73.499,8.62,0.824,12.418,physical_loss
88.848,2.18,2.153,7.792,consistent
85.623,14.358,5.376,0.467,overestimation
84.246,0.897,2.186,8.62,physical_loss
70.615,2.072,2.648,9.414,missing
84.592,2.349,6.561,1.934,physical_loss
91.248,4.612,1.113,5.029,overestimation
69.334,1.246,11.08,7.874,missing
77.379,3.102,2.893,11.627,physical_loss
87.788,5.327,0.015,10.342,overestimation
84.804,7.003,0.325,4.464,physical_loss
70.519,4.439,4.135,1.242,missing
96.094,1.764,2.137,0.626,consistent
76.058,6.034,6.021,6.771,physical_loss
90.944,6.802,1.361,0.663,consistent
91.058,0.561,10.094,1.38,overestimation
74.333,6.833,3.477,0.17,missing
91.361,2.979,6.5,4.044,overestimation
65.275,5.369,4.828,2.121,missing
90.111,2.411,9.158,0.483,overestimation
71.808,6.186,0.315,2.163,missing
75.366,6.442,0.779,1.011,missing
88.305,8.056,2.08,0.633,consistent
97.405,2.934,0.551,0.019,consistent
62.054,14.783,9.88,4.851,physical_loss
78.5,0.641,8.104,4.412,missing
67.759,1.384,9.169,12.028,physical_loss
90.493,7.515,1.386,0.427,consistent
62.417,4.385,11.227,16.295,physical_loss
86.6,9.666,4.201,2.338,overestimation
82.681,2.291,2.49,1.472,missing
81.104,13.597,1.546,0.796,physical_loss
92.512,0.229,1.198,7.772,overestimation
74.578,0.395,1.495,11.013,missing
89.583,0.527,8.475,5.518,overestimation
75.198,6.292,15.468,0.091,physical_loss
87.603,10.497,7.767,1.112,overestimation
64.353,23.616,5.031,0.346,physical_loss
74.189,9.73,7.986,4.812,physical_loss
62.141,10.263,6.753,11.52,physical_loss
87.489,1.077,3.253,1.344,missing
67.173,5.303,8.208,3.39,missing
84.851,1.388,4.085,2.829,missing
78.643,8.36,7.214,2.938,physical_loss
91.534,0.087,3.941,4.606,consistent
71.455,0.84,13.018,6.861,physical_loss
95.01,2.351,1.669,0.116,consistent
94.64,0.513,0.406,6.336,overestimation
67.656,5.075,1.28,19.895,physical_loss
72.408,0.105,0.044,10.707,missing
86.392,8.505,5.801,4.441,overestimation
92.608,1.326,2.048,3.431,consistent
92.889,1.825,7.724,1.52,overestimation
88.314,1.301,2.449,8.209,consistent
71.851,5.065,8.508,1.111,missing
94.424,0.896,2.863,0.871,consistent
96.129,3.48,0.495,0.895,consistent
84.285,2.959,1.24,8.932,physical_loss
83.202,3.4,3.478,5.704,physical_loss
93.026,1.91,0.923,7.132,overestimation
94.134,3.236,2.411,0.055,consistent
