API_Name,API_Code,Stress_Type,Time_Months,API_Assay_Percent,Degradant_A,Degradant_B,Degradant_C,Total_Degradants,SMB,AMB,AMBD,RMB,RMBD,Z_MB,Diagnostic_Zone,Final_Recommendation
Ibuprofen,IBU,Photolytic,6,97.0,0.8,0.4,0.2,1.4,98.4,98.4,-1.5999999999999943,0.4666666666666667,-0.5333333333333332,-0.3199999999999988,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Thermal,0,99.9,0.02,0.01,0.0,0.03,99.93,99.93,-0.0699999999999931,0.300000000000017,-0.699999999999983,-0.0139999999999986,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Thermal,1,99.5,0.1,0.05,0.02,0.17,99.67,99.67,-0.3299999999999983,0.34,-0.6599999999999999,-0.0659999999999996,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Thermal,3,99.0,0.25,0.12,0.05,0.42,99.42,99.42,-0.5799999999999983,0.42,-0.5800000000000001,-0.1159999999999996,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Thermal,6,98.2,0.5,0.25,0.1,0.85,99.05,99.05,-0.9500000000000028,0.4722222222222229,-0.527777777777777,-0.1900000000000005,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Acidic,0,99.8,0.03,0.02,0.01,0.06,99.86,99.86,-0.1400000000000005,0.2999999999999957,-0.7000000000000042,-0.0280000000000001,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Acidic,1,99.2,0.2,0.1,0.04,0.34,99.54,99.54,-0.4599999999999937,0.4250000000000015,-0.5749999999999984,-0.0919999999999987,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Acidic,3,98.5,1.2,0.7,0.4,2.3,100.8,100.8,0.7999999999999972,1.5333333333333332,0.5333333333333332,0.1599999999999994,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Acidic,6,97.0,0.9,0.45,0.18,1.53,98.53,98.53,-1.4699999999999989,0.51,-0.49,-0.2939999999999997,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Basic,0,99.8,0.03,0.02,0.01,0.06,99.86,99.86,-0.1400000000000005,0.2999999999999957,-0.7000000000000042,-0.0280000000000001,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Basic,1,99.3,0.18,0.09,0.04,0.31,99.61,99.61,-0.3900000000000005,0.442857142857141,-0.5571428571428589,-0.0780000000000001,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Basic,3,98.7,0.4,0.2,0.08,0.68,99.38,99.38,-0.6199999999999903,0.5230769230769242,-0.4769230769230758,-0.123999999999998,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Basic,6,97.5,0.75,0.38,0.15,1.2799999999999998,98.78,98.78,-1.2199999999999989,0.5119999999999999,-0.4880000000000001,-0.2439999999999997,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Oxidative,0,99.7,0.04,0.03,0.01,0.08,99.78,99.78,-0.2199999999999988,0.2666666666666692,-0.7333333333333307,-0.0439999999999997,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Oxidative,1,99.0,0.25,0.13,0.05,0.43,99.43,99.43,-0.5699999999999932,0.43,-0.5700000000000001,-0.1139999999999986,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Oxidative,3,98.2,0.55,0.28,0.11,0.94,99.14,99.14,-0.8599999999999994,0.522222222222223,-0.4777777777777769,-0.1719999999999998,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Oxidative,6,94.0,0.6,0.3,0.12,1.02,95.02,95.02,-4.980000000000004,0.17,-0.83,-0.9960000000000008,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Photolytic,0,99.9,0.02,0.01,0.0,0.03,99.93,99.93,-0.0699999999999931,0.300000000000017,-0.699999999999983,-0.0139999999999986,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Photolytic,1,99.6,0.08,0.04,0.02,0.1399999999999999,99.74,99.74,-0.2600000000000051,0.349999999999995,-0.650000000000005,-0.052000000000001,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Photolytic,3,99.2,0.18,0.09,0.04,0.31,99.51,99.51,-0.4899999999999949,0.3875000000000014,-0.6124999999999986,-0.0979999999999989,Zone_5_Ambiguous,No_Action_Within_Variability
Metformin,MET,Photolytic,6,98.5,0.35,0.18,0.07,0.6000000000000001,99.1,99.1,-0.9000000000000057,0.4000000000000001,-0.5999999999999999,-0.1800000000000011,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Thermal,0,99.5,0.1,0.06,0.03,0.19,99.69,99.69,-0.3100000000000023,0.38,-0.62,-0.0620000000000004,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Thermal,1,96.5,1.6,1.0,0.45,3.0500000000000003,99.55,99.55,-0.4500000000000028,0.8714285714285716,-0.1285714285714284,-0.0900000000000005,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Thermal,3,90.0,6.2,4.3,2.4,12.9,102.9,102.9,2.9000000000000057,1.29,0.29,0.5800000000000012,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Thermal,6,82.0,6.2,4.5,2.4,13.1,95.1,95.1,-4.900000000000006,0.7277777777777777,-0.2722222222222222,-0.9800000000000012,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Acidic,0,99.4,0.12,0.08,0.04,0.24,99.64,99.64,-0.3599999999999994,0.4000000000000038,-0.5999999999999962,-0.0719999999999998,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Acidic,1,95.8,2.2,1.5,0.7,4.4,100.2,100.2,0.2000000000000028,1.047619047619047,0.047619047619047,0.0400000000000005,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Acidic,3,88.5,4.9,3.6,1.8,10.3,98.8,98.8,-1.2000000000000028,0.8956521739130435,-0.1043478260869564,-0.2400000000000005,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Acidic,6,78.0,8.2,6.2,3.4,17.799999999999997,95.8,95.8,-4.200000000000003,0.809090909090909,-0.190909090909091,-0.8400000000000005,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Basic,0,99.3,0.14,0.1,0.05,0.29,99.59,99.59,-0.4099999999999966,0.4142857142857126,-0.5857142857142874,-0.0819999999999993,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Basic,1,95.0,2.6,1.8,0.85,5.25,100.25,100.25,0.25,1.05,0.05,0.05,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Basic,3,87.0,5.5,4.1,2.1,11.7,98.7,98.7,-1.2999999999999972,0.8999999999999999,-0.1,-0.2599999999999994,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Basic,6,75.0,9.0,6.8,3.8,19.6,94.6,94.6,-5.400000000000006,0.784,-0.2159999999999999,-1.0800000000000012,Zone_2_Missing_Degradants,Investigate_Missing_Degradants
Amoxicillin,AMX,Oxidative,0,99.2,0.18,0.12,0.06,0.36,99.56,99.56,-0.4399999999999977,0.4500000000000015,-0.5499999999999985,-0.0879999999999995,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Oxidative,1,94.2,3.0,2.2,1.0,6.2,100.4,100.4,0.4000000000000057,1.06896551724138,0.0689655172413798,0.0800000000000011,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Oxidative,3,85.0,6.8,5.1,2.6,14.499999999999998,99.5,99.5,-0.5,0.9666666666666666,-0.0333333333333334,-0.1,Zone_1_Consistent,No_Action_Within_Variability
Amoxicillin,AMX,Oxidative,6,68.0,7.2,5.1,2.8,15.1,83.1,83.1,-16.900000000000006,0.471875,-0.528125,-3.380000000000001,Zone_2_Missing_Degradants,Investigate_Missing_Degradants
Amoxicillin,AMX,Photolytic,0,99.5,0.1,0.06,0.03,0.19,99.69,99.69,-0.3100000000000023,0.38,-0.62,-0.0620000000000004,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Photolytic,1,97.0,1.2,0.8,0.35,2.35,99.35,99.35,-0.6500000000000057,0.7833333333333333,-0.2166666666666666,-0.1300000000000011,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Photolytic,3,92.0,2.9,2.0,1.0,5.9,97.9,97.9,-2.0999999999999943,0.7375,-0.2624999999999999,-0.4199999999999989,Zone_5_Ambiguous,No_Action_Within_Variability
Amoxicillin,AMX,Photolytic,6,86.0,4.8,3.4,1.8,10.0,96.0,96.0,-4.0,0.7142857142857143,-0.2857142857142857,-0.8,Zone_5_Ambiguous,No_Action_Within_Variability
